"Step","mild-haze-5 - val/val_loss","mild-haze-5 - val/val_loss__MIN","mild-haze-5 - val/val_loss__MAX","magic-salad-4 - val/val_loss","magic-salad-4 - val/val_loss__MIN","magic-salad-4 - val/val_loss__MAX","solar-cherry-3 - val/val_loss","solar-cherry-3 - val/val_loss__MIN","solar-cherry-3 - val/val_loss__MAX","earthy-flower-2 - val/val_loss","earthy-flower-2 - val/val_loss__MIN","earthy-flower-2 - val/val_loss__MAX","divine-snow-1 - val/val_loss","divine-snow-1 - val/val_loss__MIN","divine-snow-1 - val/val_loss__MAX"
"93","0.28704285621643066","0.28704285621643066","0.28704285621643066","0.31056419014930725","0.31056419014930725","0.31056419014930725","0.3360520601272583","0.3360520601272583","0.3360520601272583","0.3103506863117218","0.3103506863117218","0.3103506863117218","0.3465932309627533","0.3465932309627533","0.3465932309627533"
"187","0.22551070153713226","0.22551070153713226","0.22551070153713226","0.25472575426101685","0.25472575426101685","0.25472575426101685","0.26746630668640137","0.26746630668640137","0.26746630668640137","0.2547037899494171","0.2547037899494171","0.2547037899494171","0.2782965898513794","0.2782965898513794","0.2782965898513794"
"281","0.19544477760791779","0.19544477760791779","0.19544477760791779","0.22850556671619415","0.22850556671619415","0.22850556671619415","0.23720085620880127","0.23720085620880127","0.23720085620880127","0.22656553983688354","0.22656553983688354","0.22656553983688354","0.25121238827705383","0.25121238827705383","0.25121238827705383"
"375","0.1854662299156189","0.1854662299156189","0.1854662299156189","0.21327610313892365","0.21327610313892365","0.21327610313892365","0.22292989492416382","0.22292989492416382","0.22292989492416382","0.2187196910381317","0.2187196910381317","0.2187196910381317","0.23338061571121216","0.23338061571121216","0.23338061571121216"
"469","0.17105109989643097","0.17105109989643097","0.17105109989643097","0.1913433074951172","0.1913433074951172","0.1913433074951172","0.21771873533725739","0.21771873533725739","0.21771873533725739","0.19272874295711517","0.19272874295711517","0.19272874295711517","0.22282439470291138","0.22282439470291138","0.22282439470291138"
"563","0.16767649352550507","0.16767649352550507","0.16767649352550507","0.1877807378768921","0.1877807378768921","0.1877807378768921","0.20939016342163086","0.20939016342163086","0.20939016342163086","0.19168761372566223","0.19168761372566223","0.19168761372566223","0.20947685837745667","0.20947685837745667","0.20947685837745667"
"657","0.16123218834400177","0.16123218834400177","0.16123218834400177","0.1794257014989853","0.1794257014989853","0.1794257014989853","0.19464850425720215","0.19464850425720215","0.19464850425720215","0.1792317032814026","0.1792317032814026","0.1792317032814026","0.20398277044296265","0.20398277044296265","0.20398277044296265"
"751","0.1532195657491684","0.1532195657491684","0.1532195657491684","0.16710421442985535","0.16710421442985535","0.16710421442985535","0.18884293735027313","0.18884293735027313","0.18884293735027313","0.17620116472244263","0.17620116472244263","0.17620116472244263","0.19348157942295074","0.19348157942295074","0.19348157942295074"
"845","0.16804853081703186","0.16804853081703186","0.16804853081703186","0.17155861854553223","0.17155861854553223","0.17155861854553223","0.18829676508903503","0.18829676508903503","0.18829676508903503","0.17126807570457458","0.17126807570457458","0.17126807570457458","0.1949617564678192","0.1949617564678192","0.1949617564678192"
"939","0.15610596537590027","0.15610596537590027","0.15610596537590027","0.1615075170993805","0.1615075170993805","0.1615075170993805","0.1809641271829605","0.1809641271829605","0.1809641271829605","0.1634059101343155","0.1634059101343155","0.1634059101343155","0.18697209656238556","0.18697209656238556","0.18697209656238556"